,image_path,mask_path,new_mask_path
0,ISIC_0013398.jpg,ISIC_0015030_segmentation.png,ISIC_0013398_segmentation.png
1,ISIC_0000023.jpg,ISIC_0000202_segmentation.png,ISIC_0000023_segmentation.png
2,ISIC_0010013.jpg,ISIC_0010015_segmentation.png,ISIC_0010013_segmentation.png
3,ISIC_0000513.jpg,ISIC_0013257_segmentation.png,ISIC_0000513_segmentation.png
4,ISIC_0015102.jpg,ISIC_0010587_segmentation.png,ISIC_0015102_segmentation.png
5,ISIC_0012213.jpg,ISIC_0000511_segmentation.png,ISIC_0012213_segmentation.png
6,ISIC_0014749.jpg,ISIC_0000188_segmentation.png,ISIC_0014749_segmentation.png
7,ISIC_0000091.jpg,ISIC_0010057_segmentation.png,ISIC_0000091_segmentation.png
8,ISIC_0010483.jpg,ISIC_0013817_segmentation.png,ISIC_0010483_segmentation.png
9,ISIC_0010071.jpg,ISIC_0001292_segmentation.png,ISIC_0010071_segmentation.png
10,ISIC_0014713.jpg,ISIC_0012705_segmentation.png,ISIC_0014713_segmentation.png
11,ISIC_0013599.jpg,ISIC_0010858_segmentation.png,ISIC_0013599_segmentation.png
12,ISIC_0000439.jpg,ISIC_0010024_segmentation.png,ISIC_0000439_segmentation.png
13,ISIC_0000232.jpg,ISIC_0016048_segmentation.png,ISIC_0000232_segmentation.png
14,ISIC_0015991.jpg,ISIC_0013580_segmentation.png,ISIC_0015991_segmentation.png
15,ISIC_0015258.jpg,ISIC_0016043_segmentation.png,ISIC_0015258_segmentation.png
16,ISIC_0010360.jpg,ISIC_0011301_segmentation.png,ISIC_0010360_segmentation.png
17,ISIC_0000299.jpg,ISIC_0013617_segmentation.png,ISIC_0000299_segmentation.png
18,ISIC_0011357.jpg,ISIC_0012298_segmentation.png,ISIC_0011357_segmentation.png
19,ISIC_0000342.jpg,ISIC_0012901_segmentation.png,ISIC_0000342_segmentation.png
20,ISIC_0014325.jpg,ISIC_0015167_segmentation.png,ISIC_0014325_segmentation.png
21,ISIC_0014862.jpg,ISIC_0013071_segmentation.png,ISIC_0014862_segmentation.png
